《The British Grenadiers》	 Various Artists
《8 Humoresques; Op. 101; B. 187:No. 7; Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin; Cello & Orchestra)》	 Seiji Ozawa; 马友友; Itzhak Perlman; Boston Symphony Orchestra
《outside sandwiches》	 Lullatone
《Classico》	 Tenacious D
《いけないボーダーライン》	 ワルキューレ
《Pneumatic Tokyo》	 EnV
《登录界面音乐(大转移前) - character select stage》	 Dungeon and Fighter
《Wild Side》	 Danny Olson; Kimberly Cole
《Hungarian Dance》	 Johannes Brahms
《Yankee Doodle》	 Paralyzed Veterans of America
《Freedom Is Ours》	 Epic Score
《Finally Free》	 Kari Kimmel
《Schnappi》	 Joy Gruttmann
《House of Cards》	 Tyler Shaw
《Spring In My Step》	 Silent Partner
《Axel F》	 Crazy Frog
《地上BGM》	 近藤浩治
《ポケットモンスター 赤・緑：メインテーマ［64］》	 安藤浩和
《我的舞台》	 灵感; 胡彦斌
《让我们荡起双桨》	 中央人民广播电台少年广播合唱团
《马丁的早晨主题曲》	 群星
《Universal Fanfare》	 The Minions
《As Long as We Got Each Other》	 Dusty Springfield; B.J. Thomas
《Touche; Pussy Cat!* (1954; Tom and Jerry)》	 Scott Bradley
《上海滩》	 叶丽仪
《铁血丹心》	 罗文; 甄妮
《1997-1998_M20》	 宮崎慎二
《Theme From Superman》	 John Williams
《William Tell: Overture (Finale) [Lone Ranger Theme]》	 Cincinnati Pops Orchestra; Erich Kunzel
《Just Blue》	 Space
《Spectre》	 Alan Walker
《Like Me; OK?》	 雷军; Lemon
《Braum》	 英雄联盟
《Freljord》	 英雄联盟
《바람의 너를》	 Lu Sienna
《Return of the Ancients》	 Glenn Stafford; Derek Duke; Tracy Bush
《いのちの名前》	 泠鸢yousa
《The Benny Hill Show ("Yakety Sax")》	 Boots Randolph
《Who Let The Dogs Out》	 Baha Men
《I Will Return》	 Skylar Grey
《Lemon Tree》	 Fool's Garden
《The Next Episode》	 Dr. Dre; Snoop Dogg; Nate Dogg
《Oh Father》	 Bodhi Jones
《ID》	 Panda Eyes; Phantom Sage
《Heart Like California》	 Before You Exit
《Nobody Compares》	 One Direction
《Chasing The Wind》	 Josiah James
《2 Soon》	 Jon Young
《The Man Who Can't Be Moved》	 The Script
《If You Could See Me Now》	 The Script
《Time Bomb》	 Feint; Boyinaband; Veela
《Jelly》	 OMFG
《DotA (Radio Edit)》	 Basshunter
《Floorfiller》	 A*Teens
《Blank Space》	 Taylor Swift
《Out Of The Woods》	 Taylor Swift
《I Wish You Would》	 Taylor Swift
《Bad Blood》	 Taylor Swift
《Wildest Dreams》	 Taylor Swift
《How You Get The Girl》	 Taylor Swift
《This Love》	 Taylor Swift
《I Know Places》	 Taylor Swift
《Clean》	 Taylor Swift
《You Are In Love》	 Taylor Swift
《New Romantics》	 Taylor Swift
《I Know Places (Voice Memo)》	 Taylor Swift
《I Wish You Would (Voice Memo)》	 Taylor Swift
《Blank Space (Voice Memo)》	 Taylor Swift
《Wonderland》	 Taylor Swift
《All You Had To Do Was Stay》	 Taylor Swift
《Style》	 Taylor Swift
《Welcome To New York》	 Taylor Swift
《Best of 2014: Problem / Boom Clap / Rude / Am I Wrong / All About That Bass / All of Me / Chandelier / Blank Space / Not a Bad Thing / Happy》	 Anthem Lights
《Best of 2013 Mash-Up》	 Anthem Lights
《What Do You Mean?》	 Justin Bieber
《Never Say Never》	 The Fray
《Cornfield Chase》	 Hans Zimmer
《我们不该这样的》	 张赫煊
《Tales of the Electric Romeo》	 Immediate
《Reverse   Parallel Universe》	 V.K克
《千本桜》	 茶理理
《Two Rogues; One Mark》	 Peter McConnell
《Best of 2012: Payphone/Call Me Maybe/Wide Awake/Starship/We Are Young》	 Anthem Lights
《傲气傲笑万重浪》	 黄霑
《摩诃不思议アドベンチャー!(TV ver.)》	 高橋洋樹
《What Are You Waiting For?》	 Nickelback
《Pull up a Chair》	 Peter McConnell
《Here Comes Vi》	 英雄联盟
《I Am You》	 Kim Taylor
《Me and My Broken Heart》	 Push Baby
《快点告诉你》	 苑冉
《Butter-Fly -tri.Version-》	 和田光司
《蘭のテーマ》	 大野克夫
《brave heart -tri.Version-》	 宮崎歩
《こなたのテーマ、沖縄バージョン》	 神前暁
《We No Speak Americano(UK Radio Edit)》	 Yolanda Be Cool
《Hypnotic》	 Zella Day
《Best of 2015: Style / What Do You Mean / Uptown Funk / Love Me Like You Do / Watch Me / See You Again》	 Anthem Lights
《Journey》	 Capo Productions
《水面の満月》	 神乃木製作所
《Epic Sax Guy》	 Sunstroke Project
《大鱼钢琴版》	 昼夜
《Mi Mi Mi》	 Serebro
《花火》	 清浦夏実
《Jhin; the Virtuoso》	 Edouard Brenneisen; 英雄联盟
《Ethereal》	 英雄联盟; Nosaj Thing; Pretty Lights
《DJ SONA - DJ Sona Kinetic(自由页 Remix)（自由页 remix）》	 自由页
《Adventure Time》	 Philter
《Rage your dream》	 m.o.v.e
《Immortals (End Credit Version) ["From "Big Hero 6”]》	 Fall Out Boy
《Can't Stop Love》	 Darin
《Just the Way You Are》	 Bruno Mars
《Let Her Go》	 Jasmine Thompson
《midnightride》	 Various Artists
《What If (Bonus track)》	 Darin
《白いスーツのテーマ》	 市川淳
《Häschenparty (Album Version)》	 Schnuffel
《Chain Hang Low》	 Jibbs
《美しきもの》	 Sound Horizon
《The Hampster Dance Song》	 Hampton the Hampster
《Take Me Hand》	 DAISHI DANCE; Cécile Corbel
《I Just Wanna Run》	 The Downtown Fiction
《What Are Words》	 Chris Medina
《用心良苦》	 张宇
《This Is The Summer》	 Solid Base
《The Monster》	 Eminem; Rihanna
《BUCKLE UP N CHUGGELUCK HEAVEN》	 Cecil Jonni Lauro
《Loves Me Not》	 t.A.T.u.
《TEMPTATION》	 Arash
《流川枫与苍井空》	 黑撒
《Aankhen Khuli》	 Shahrukh Khan
《Here Comes the Hotstepper (Yuksek Remix)》	 Baby & Me
《贫民百万歌星伴奏》	 MC HotDog 热狗
《The Phoenix》	 Fall Out Boy
《Liberators》	 Epic Score
《Go Time》	 Mark Petrie
《小鸡哔哔》	 洛天依Official
《Higher》	 Tobu
《Aggressive Michael》	 The Diner
《Cloud 9》	 Tobu; Itro
《Bad Apple!!(东方幻想郷)》	 TAMUSIC
《Bad Apple!!》	 のみこ
《不如不见》	 陈奕迅
《Rally the Heroes》	 Derek Duke
《Victory》	 Derek Duke; Neal Acree
《levan Polkka》	 Loituma
《Ce Frumoasa E Iubirea》	 Giulia
《The Last Mohican》	 Alborada Del Inka
《Soldier》	 Samantha Jade
《Forgettable》	 Project 46; Olivia
《Saika》	 RABPIT
《Miku》	 初音ミク; Anamanaguchi
《故郷の原风景》	 宗次郎
《万里の長城》	 太田美知彦
《アフロディーテ》	 S.E.N.S.
《我的滑板鞋》	 张全蛋
《我的滑板鞋》	 约瑟翰庞麦郎
《模特 (Live)》	 李荣浩
《我好像在哪见过你》	 薛之谦
《The truth that you leave》	 Pianoboy高至豪
《Masked Heroes》	 Vexento
《杀手》	 林俊杰
《Hakuna Matata (From "The Lion King"/Soundtrack)》	 Joseph Williams; Jason Weaver; Ernie Sabella; Nathan Lane
《Demons》	 Imagine Dragons
《Hall of Fame》	 The Script; will.i.am
《Almost Lover》	 A Fine Frenzy
《Till the World Ends》	 Britney Spears
《认真的雪》	 薛之谦
《The Beginning》	 Ryan
《Stronger》	 Kelly Clarkson
《ninelie》	 Aimer; EGOIST
《Highland》	 Canvai
《名探偵コナン メイン・テーマ(戦慄ヴァージョン)》	 大野克夫
《X Gon' Give It to Ya (Radio Edit)》	 DMX
《可惜不是你》	 曹轩宾
《时间煮雨》	 郁可唯
《丑八怪》	 薛之谦
《匆匆那年》	 二珂
《小城谣（Cover 胡碧乔）》	 泥鳅Niko
《绅士》	 薛之谦
《演员》	 薛之谦
《刚刚好》	 薛之谦
《Love Me Like You Do》	 Ellie Goulding
《Sing Me to Sleep (Instrumental)》	 Alan Walker
《Sing Me to Sleep》	 Alan Walker; Iselin Solheim
《Unity》	 Axero
《当三国杀遇上nobody》	 翼侯大人
《当红警遇上Nobody》	 Various Artists
《The Fox (What Does the Fox Say?)》	 Ylvis
《The New Earth》	 Audiomachine
《300 Violin Orchestra》	 Jorge Quintero
《Sad Run》	 V.A.
《Legions of Doom》	 Audiomachine
《An Unfinished Life》	 Audiomachine
《Man At Arms》	 Position Music
《League of Legends Epic Dubstep(LOL Remix)》	 ThimLife
《Electric Romeo》	 Immediate Music
《Stitches》	 Shawn Mendes
《单身情歌》	 林志炫
《眉间雪》	 HITA
《湖心亭（纯歌版）》	 小曲儿; 蔡翊昇
《你还要我怎样》	 薛之谦
《一吻之间》	 张碧晨
《Madona》	 Era
《Ameno》	 Era
《The Mass》	 Era
《Divano》	 Era
《We Are Young》	 Mike Tompkins
《See You Again》	 Mike Tompkins
《Rolling In The Deep》	 Mike Tompkins
《Sugar》	 Mike Tompkins
《Faded》	 Alan Walker
《Ascension (Remix)》	 MitiS; Dope Arcade
《Lucky Strike》	 Maroon 5
《She Will Be Loved》	 Maroon 5
《Won't Go Home Without You》	 Maroon 5
《Voodoo People》	 Pendulum
《brave heart》	 宮崎歩
《Beautiful Lies》	 B-Complex
《Beyond The Game》	 a l o u t
《Alone Together》	 Fall Out Boy
《Centuries》	 Fall Out Boy
《Pump It》	 Black Eyed Peas
《我的洗发液》	 成龙
《卧槽大爷歌》	 群星
《R U OK (Chinglish ver.)》	 雷军
《好汉歌英文版》	 群星
《打dota的变态》	 冷面EATTTTT
《如果我搞比利你会爱我吗 (英文版)》	 A路人
《aHUOz》	 Bi哩Bi哩汪
《千本桜(古筝版)》	 墨韵
《我是全英雄联盟最骚的骚猪》	 PDD
《Magic》	 Tobu; Itro
《御剑江湖》	 骆集益
《Superheroes》	 The Script
《我的天空》	 南征北战NZBZ
《Focus》	 Ariana Grande
《CHIKI CHIKI》	 Starclub
《CALL FROM BABYLON》	 Blue Lagoon
《CE FRUMOASA E IUBIREA》	 Giulia
《DOAR CU TINE》	 Activ
《Can You Feel It》	 Jean Roch
《江南(粤语版)》	 林俊杰
《One More Night》	 Maroon 5
《Maps》	 Maroon 5
《My Heart Is Open》	 Maroon 5; Gwen Stefani
《Just A Feeling》	 Maroon 5
《欢迎进行曲》	 中国人民解放军军乐团
《运动员进行曲》	 中国人民解放军军乐团
《死机之歌》	 Dj Titon
《This Summer (Maroon 5 vs. Alesso)》	 Maroon 5; Alesso
《Feelings》	 Maroon 5
《Payphone》	 Maroon 5; Wiz Khalifa
《Moves Like Jagger》	 Maroon 5; Christina Aguilera
《Animals》	 Maroon 5
《Nara (Theme to Cold Case)》	 E.S. Posthumus
《Falling Into a Dream》	 Brian Tyler
《Take Me To Your Heart》	 Michael Learns To Rock
《21 Guns》	 Green Day
《You Raise Me Up》	 Westlife
《Shape Of My Heart》	 Sting
《天空之城 (800人合唱版)》	 V.A.
《天空之城(吟唱版)》	 小娟&山谷里的居民
《Five Hundred Miles》	 Justin Timberlake; Carey Mulligan; Stark Sands
《If I Die Young (originally by The Band Perry)》	 Sam Tsui
《Summer Vibe》	 Walk off the Earth
《OneRepublic Mash-Up》	 Anthem Lights
《Wings Of Piano》	 V.K克
《China Loading》	 Fredrik Englund; David Tallroth; Jonas Östholm
《Lead Me Home》	 Jamie N Commons
《当你老了》	 赵照
《The Last of the Mohicans (街头艺人演奏版)》	 Alexandro Querevalú
《Let Down (feat. Andrew Harris)》	 Axero; Andrew Harris
《Candyman》	 Zedd; Aloe Blacc
《天空之城》	 张信哲
《拉德斯基进行曲》	 Herbert von Karajan
《春节序曲》	 中国人民解放军军乐团
《红玫瑰(国)》	 陈奕迅
《Levels (Radio Edit)》	 Avicii
《One Call Away》	 Charlie Puth
《See You Again (Piano Demo Version)》	 Charlie Puth
《Look At Me Now》	 Charlie Puth
《稻香村》	 月之门
《纯阳宫1》	 月之门
《残酷な天使のテーゼ》	 高橋洋子
《「名探偵コナン」~メインテーマ》	 大野克夫
《キミがいれば》	 伊織
《白桦林》	 朴树
《Vivid》	 Valcos
《EuroDancer》	 Klave
《光荣啊，中国共青团》	 群星
《月光酒馆 - tavern》	 Dungeon and Fighter
《바람의 너를 (inst.)》	 Lu Sienna
《Quazar (8-bit/chiptune)  Funky Stars (Hybrid song)》	 Various Artists
《Butter-Fly》	 和田光司
《Zombies on Your Lawn》	 Laura Shigihara
《Be What You Wanna Be》	 Darin
《Supermassive Black Hole (Twilight Soundtrack Version)》	 Muse
《Born a Champion》	 Network Music Ensemble
《Palace Memories》	 S.E.N.S.
《Pacific Rim (feat. Tom Morello)》	 Ramin Djawadi; Tom Morello
《冒险岛登录》	 群星
《Warriors》	 Imagine Dragons
《Beethoven Virus》	 Diana Boncheva
《Energy Drink》	 Virtual Riot
《attraction》	 小澤正澄
《Battle Without Honor Or Humanity》	 布袋寅泰
《Sugar》	 Maroon 5
《Lovin' You ('06 Version)》	 Shanice
《Welcome to Planet Urf》	 英雄联盟
《Silver Scrapes》	 英雄联盟; Danny McCarthy
《Worlds Collide》	 英雄联盟; Nicki Taylor
《Bangarang》	 Skrillex; Sirah
《Seve》	 Tez Cadey
《大河之舞》	 群星
《Lion's Pride》	 Jason Hayes
《The Day You Went Away》	 M2M
《Burning》	 Maria Arredondo
《Breaking The Habit》	 Linkin Park
《What I've Done》	 Linkin Park
《New Divide》	 Linkin Park
《Faint》	 Linkin Park
《In the End》	 Linkin Park
《Numb》	 Linkin Park
《好久不见》	 陈奕迅
《Butterfly》	 Smile. DK
《晴天》	 周杰伦
《Fallen Angel》	 Backstreet Boys
《Show Me the Meaning of Being Lonely》	 Backstreet Boys
《I Want It That Way》	 Backstreet Boys
《As Long as You Love Me》	 Backstreet Boys
《千本桜 (Game Version)》	 初音ミク; 黒うさP
《炉心融解》	 iroha(sasaki); kuma; 鏡音リン
《甩葱歌》	 初XX来
《夜空中最亮的星(法语版)》	 毛晖; 周磊
《夜空中最亮的星》	 逃跑计划
《我是不是你最疼爱的人》	 赵已然
《别怕我伤心》	 张信哲
《Wonderful》	 OMFG
《卡农》	 V.A.
《美国巡逻兵进行曲》	 Various Artists
《Blessing(World Edition)》	 チューン; Sumashu; MASTAH; Kiro; 茶理理; 蓮; Ehmz; Un3h; ENAE; CheeseMan; Paperblossom; 鳥子; Howl
《TEENAGE LIFE》	 Daz Sampson
《WHY DONT YOU PLAY LOUDER》	 Rimini Project
《SARVAR》	 ABV
《Oops J'Aime Pas L'Anglais !》	 Gullia
《贝多芬第8号钢琴奏鸣曲悲伤的第三乐章》	 Various Artists
《克罗地亚第二狂想曲》	 Various Artists
《Linkin Park Mashup》	 MetroGnome
《Mashed Potatoes》	 OMFG
《超级玛丽二胡版》	 Various Artists
《Stop Crying Your Heart Out》	 Oasis
《Theme from Mission: Impossible》	 Danny Elfman
《Cyberworld》	 X-Ray Dog
《Mission Impossible (Main Theme) - Main Theme》	 Maksim Mrvica
《Cubana Cubana》	 Maksim Mrvica
《Victory Remix》	 Maksim Mrvica
《Croatian Rhapsody》	 Maksim Mrvica
《Ringtone (MetroGnome Remix)》	 MetroGnome
《无敌》	 邓超
《Boom Clap》	 Charli xcx
《GDFR (feat. Sage the Gemini & Lookas)》	 Flo Rida; Sage the Gemini; Lookas
《aLIEz》	 瑞葵(mizuki); SawanoHiroyuki[nZk]
《New York》	 群星
《Ok》	 OMFG
《Ice Cream》	 OMFG
《I Love You》	 OMFG; MILLAN
《Yeah》	 OMFG
《Davy Jones》	 Hans Zimmer
《One Day》	 Hans Zimmer
《Pirates Of The Caribbean (He's A Pirate)》	 Maksim Mrvica
《Take Me Home Country Roads》	 V.A.
《梦中的婚礼(八音盒完整版)》	 群星
《Moonlight Flight (My Neighbor Totoro)》	 V.A.
《Main Title - Setsuko & Seita (Grave of the Firefies)》	 V.A.
《The Legend of Ashitaka (Princess Mononoke)》	 V.A.
《Name of Life (Spirited Away)》	 V.A.
《天空之城》	 V.A.
《鸟之诗 (八音盒版)》	 折戸伸治
《He's a Pirate》	 Klaus Badelt
《Hoist The Colours》	 Hans Zimmer
《Always Getting Over You》	 Angela Ammons
《Get Jinxed》	 Agnete Kjolsund
《Yesterday Once More》	 Carpenters
《Boulevard Of Broken Dreams》	 Green Day
《平凡之路 + See You Again (Live)》	 张信哲
《龙之梦境》	 StudioEIM
《夏恋》	 Otokaze
《Nobody(Eng ver.)》	 Wonder Girls
《叶问》	 王蓉; 老猫; 杨宗南
《Despicable Me》	 Pharrell Williams
《Happy》	 Pharrell Williams
《Y.M.C.A.》	 The Minions
《Faraway》	 Gala
《情动》	 YEHAIYAHAN
《GALAXY SUPERNOVA》	 少女时代
《Hey Mama (The Blueprint)》	 Alexander The Phatos
《不再联系》	 夏天Alex
《Love Runs Out》	 OneRepublic
《See You Again》	 Wiz Khalifa; Charlie Puth
《浮夸》	 陈奕迅
《最佳损友》	 陈奕迅
《Dragostea Din Tei (Original Romanian Version)》	 O-Zone
《Tidecaller》	 英雄联盟
《All We Are》	 OneRepublic
《Give Your Heart A Break》	 Demi Lovato
《暗涌》	 王菲
《Heaven's Devils》	 Glenn Stafford
《Hello》	 OMFG
《Time Bomb》	 Boyinaband; Feint; Veela
《Breath and Life》	 Audiomachine
《Hello》	 Adele
《Halo》	 Beyoncé
《但愿人长久》	 邓丽君
《月亮代表我的心》	 邓丽君
《小城故事》	 邓丽君
《Main Titles》	 Ramin Djawadi
《Kung Fu Fighting》	 Cee-Lo Green; Jack Black
《Saika》	 RABPIT
《Hua Sui Yue》	 V.K克
《信仰 (Live)》	 张信哲
《再见...警察》	 陈光荣
《You Know My Name》	 Chris Cornell
《男儿当自强 (狮王争霸之大合唱)》	 Tam Sik Hay; Donald Cheung
《Not Afraid》	 Eminem
《Kinetic》	 英雄联盟; The Crystal Method; Dada Life
《Guardians at the Gate》	 Audiomachine
《Elektrik (Sonixtended)》	 Flying Steps
《明教·梵影》	 西山居游戏音乐
《TiK ToK》	 Kesha
《Glimmer》	 祈Inory
《We Are Electric》	 Flying Steps
《Beach Party》	 Gabriel Heinrich Grote
《Uptown Funk》	 Mark Ronson; Bruno Mars
《Cytus》	 Sta
《Scarborough Fair》	 Sarah Brightman
《I Believe I Can Fly》	 R. Kelly
《Here I Am》	 Bryan Adams
《Scarborough Fair》	 In Tune
《My Heart Will Go On (Love Theme from "Titanic")》	 Céline Dion
《同一首歌》	 蔡国庆
《It's My Life》	 Bon Jovi
《One bad man》	 Midnight Riders
《Champion Select (Draft Pick Normal Mode)》	 Daniel Vulcano; Duncan Watt; 英雄联盟
《Summoning Glory》	 英雄联盟
《Firefly》	 Jim Yosef
《Concussive》	 英雄联盟; Bassnectar; Renholder
《Waka Waka (This Time for Africa)》	 Shakira; Freshlyground
《Runaway》	 Groove Coverage
《On the Radio》	 Groove Coverage
《God Is a Girl》	 Groove Coverage
《Far Away From Home》	 Groove Coverage
《甜蜜蜜》	 邓丽君
《Nothing's Gonna Change My Love For You》	 Westlife
《Teenage Dream》	 Katy Perry
《Fade》	 Alan Walker
《Secrets》	 OneRepublic
《Apologize》	 OneRepublic
《好久不见(国)》	 陈奕迅
《爱情转移(国)》	 陈奕迅
《匆匆那年》	 王菲
《One Day》	 Matisyahu
《What Makes You Beautiful》	 One Direction
《We Are Young (feat. Janelle Monáe)》	 Fun.; Janelle Monáe
《Let It Go》	 Demi Lovato
《Boom Boom Pow (Clean)》	 Black Eyed Peas
《We Own It (feat. Wiz Khalifa)》	 2 Chainz
《Counting Stars》	 OneRepublic
《Marvin Gaye (feat. Meghan Trainor)》	 Charlie Puth; Meghan Trainor
《空白格 (Live)》	 杨宗纬
《一剪梅》	 费玉清
